candidate_id,family_id,symbol,completed_trades,long_trades,short_trades,gross_profit_usd,gross_loss_usd,net_profit_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,round_trip_cost_usd,average_trade_to_round_trip_cost,context_value_name,feature_eligible_sessions,feature_eligible_rate,signal_confirmed_sessions,signal_confirmation_rate,context_value_mean,context_value_median,context_long_trades,context_short_trades,mnq_completed_trades,mnq_profit_factor,mnq_net_profit_usd,zero_tick_net_profit_usd,two_tick_net_profit_usd,cost_resilience_ratio,trading_years,profitable_years,profitable_year_fraction,observed_months,profitable_months,profitable_month_fraction,best_year_profit_contribution,top_5_trade_profit_contribution,longest_drawdown_duration_trades,longest_recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result_usd,worst_50_trade_result_usd,worst_100_trade_result_usd,trades_per_year,session_participation_rate,average_holding_minutes,median_holding_minutes,low_sample,concentrated_activity,cost_fragile,mnq_divergence,reliability_flag_count,research_status,pareto_nondominated,domination_count
overnight_reversal_0p75_open,overnight_inventory_reversal,NQ,110,41,69,58200.0,-66880.0,-8680.0,0.8702153110047847,0.23636363636363636,-78.9090909090909,-577.5,2238.4615384615386,-805.7831325301205,2.777995031284505,-22695.0,0.22695,-0.38246309759859,15.0,-5.260606060606061,overnight_drive_fraction,210,0.15777610818933133,110,0.5238095238095238,0.8432104888785478,0.8335873983739838,41,69,114,0.7756608548931384,-1595.5,-7580.0,-9780.0,1.2902374670184698,6,2,0.3333333333333333,54,17,0.3148148148148148,-1.0357142857142858,-2.767857142857143,109,57,20,-13305.0,-21770.0,-14435.0,18.333333333333332,0.08264462809917356,71.88181818181818,25.0,True,False,True,False,2,MEASURED_NOT_VALIDATED,False,17
overnight_reversal_0p75_1r,overnight_inventory_reversal,NQ,110,41,69,48110.0,-46695.0,1415.0,1.0303030303030303,0.5272727272727272,12.863636363636363,147.5,829.4827586206897,-897.9807692307693,0.9237199582027168,-6360.0,0.0636,0.22248427672955975,15.0,0.8575757575757575,overnight_drive_fraction,210,0.15777610818933133,110,0.5238095238095238,0.8432104888785478,0.8335873983739838,41,69,114,0.8973417109714839,-531.0,2515.0,315.0,0.12524850894632206,6,4,0.6666666666666666,54,30,0.5555555555555556,3.1908127208480566,7.204946996466431,41,38,5,-4255.0,-2310.0,-2055.0,18.333333333333332,0.08264462809917356,27.681818181818183,8.5,True,False,False,True,2,MEASURED_NOT_VALIDATED,False,1
overnight_breakout_1030_1r,overnight_range_breakout,NQ,905,498,407,386755.0,-430245.0,-43490.0,0.8989180583156109,0.507182320441989,-48.05524861878453,180.0,842.60348583878,-964.6748878923767,0.8734585054657135,-58990.0,0.5899,-0.7372436006102729,15.0,-3.203683241252302,overnight_range_points,1331,1.0,905,0.6799398948159279,173.63148009015777,149.5,498,407,904,0.8747196154726482,-5473.5,-34440.0,-52540.0,1.5255516840882695,6,2,0.3333333333333333,72,31,0.4305555555555556,-0.2040699011266958,-0.2916762474131984,881,84,10,-28320.0,-38560.0,-30270.0,150.83333333333334,0.6799398948159279,23.579005524861877,11.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,4
overnight_breakout_1030_1p5r,overnight_range_breakout,NQ,905,498,407,456145.0,-505785.0,-49640.0,0.9018555315005388,0.40773480662983425,-54.850828729281766,-470.0,1236.1653116531165,-943.6287313432836,1.3100123709601321,-66077.5,0.660775,-0.7512390753282131,15.0,-3.656721915285451,overnight_range_points,1331,1.0,905,0.6799398948159279,173.63148009015777,149.5,498,407,904,0.8790916947457348,-6225.75,-40590.0,-58690.0,1.4459226410445922,6,2,0.3333333333333333,72,36,0.5,-0.37192788074133765,-0.36865431103948426,904,566,11,-38025.0,-47310.0,-43870.0,150.83333333333334,0.6799398948159279,40.95469613259669,17.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,10
overnight_breakout_1200_1r,overnight_range_breakout,NQ,1107,596,511,444900.0,-506500.0,-61600.0,0.8783810463968411,0.4986449864498645,-55.64588979223126,-120.0,805.9782608695652,-912.6126126126126,0.8831548564316066,-76145.0,0.76145,-0.8089828616455447,15.0,-3.7097259861487504,overnight_range_points,1331,1.0,1107,0.8317054845980466,173.63148009015777,149.5,596,511,1106,0.8513286862439043,-7667.5,-50530.0,-72670.0,1.438155551157728,6,1,0.16666666666666666,72,29,0.4027777777777778,-0.11038961038961038,-0.20592532467532468,1082,103,10,-29470.0,-43640.0,-42105.0,184.5,0.8317054845980466,23.716350496838302,11.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,5
overnight_breakout_1200_1p5r,overnight_range_breakout,NQ,1107,596,511,527092.5,-593550.0,-66457.5,0.8880338640384129,0.4001806684733514,-60.03387533875339,-445.0,1189.8250564334087,-893.9006024096385,1.331048500500014,-80017.5,0.800175,-0.830537070015934,15.0,-4.002258355916893,overnight_range_points,1331,1.0,1107,0.8317054845980466,173.63148009015777,149.5,596,511,1106,0.8676947514726322,-7996.0,-55387.5,-77527.5,1.3997291807718348,6,1,0.16666666666666666,72,32,0.4444444444444444,-0.26840461949366134,-0.2753639544069518,1083,101,10,-39175.0,-50695.0,-47727.5,184.5,0.8317054845980466,39.75971093044264,17.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,12
premarket_continuation_0p50_time,premarket_momentum_continuation,NQ,291,140,151,285920.0,-164665.0,121255.0,1.7363738499377523,0.27835051546391754,416.68384879725085,-515.0,3529.8765432098767,-784.1190476190476,4.501709981320099,-20695.0,0.20695,5.859144720947088,15.0,27.778923253150058,premarket_drive_fraction,588,0.4417731029301277,291,0.49489795918367346,0.6821883250192862,0.6704742688535972,140,151,285,1.670737975027965,11093.0,124165.0,118345.0,0.9531268876092297,6,5,0.8333333333333334,72,36,0.5,0.4574244361057276,0.3685621211496433,44,17,18,-18745.0,-2195.0,18075.0,48.5,0.21863260706235912,134.92096219931273,25.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,1
premarket_continuation_0p50_1p5r,premarket_momentum_continuation,NQ,291,140,151,143715.0,-140465.0,3250.0,1.02313743637205,0.41924398625429554,11.168384879725085,-385.0,1177.9918032786886,-831.1538461538462,1.4172969405481677,-21565.0,0.21565,0.15070716438673776,15.0,0.7445589919816723,premarket_drive_fraction,588,0.4417731029301277,291,0.49489795918367346,0.6821883250192862,0.6704742688535972,140,151,285,0.973461810466761,-375.25,6160.0,340.0,0.05519480519480519,6,3,0.5,72,29,0.4027777777777778,4.99923076923077,4.4423076923076925,110,61,9,-16420.0,-14825.0,-7955.0,48.5,0.21863260706235912,20.95189003436426,9.0,False,False,False,True,1,MEASURED_NOT_VALIDATED,False,6
premarket_continuation_0p75_time,premarket_momentum_continuation,NQ,88,44,44,87385.0,-43180.0,44205.0,2.0237378415933303,0.3181818181818182,502.32954545454544,-465.0,3120.8928571428573,-719.6666666666666,4.336581089128566,-5540.0,0.0554,7.979241877256317,15.0,33.48863636363636,premarket_drive_fraction,186,0.13974455296769348,88,0.4731182795698925,0.827721591253586,0.8170641496035034,44,44,89,2.0982798165137613,4788.5,45085.0,43325.0,0.9609626261506045,6,5,0.8333333333333334,56,20,0.35714285714285715,0.41024770953512046,0.6087546657617916,18,8,7,-4540.0,4510.0,,14.666666666666666,0.06611570247933884,146.10227272727272,32.0,True,False,False,False,1,MEASURED_NOT_VALIDATED,True,0
premarket_continuation_0p75_1p5r,premarket_momentum_continuation,NQ,88,44,44,42337.5,-37450.0,4887.5,1.1305073431241655,0.45454545454545453,55.53977272727273,-252.5,1058.4375,-780.2083333333334,1.3566088117489985,-5367.5,0.053675,0.9105728924080112,15.0,3.702651515151515,premarket_drive_fraction,186,0.13974455296769348,88,0.4731182795698925,0.827721591253586,0.8170641496035034,44,44,89,1.1117600212370586,421.0,5767.5,4007.5,0.6948417858690941,6,5,0.8333333333333334,56,23,0.4107142857142857,1.0076726342710998,2.4092071611253196,41,18,5,-3725.0,-2870.0,,14.666666666666666,0.06611570247933884,19.375,9.0,True,False,False,False,1,MEASURED_NOT_VALIDATED,False,1
