candidate_id,series_id,exp027_cohort,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
premarket_continuation_0p625_time,EXP-027:premarket_continuation_0p625_time:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,18,-6435.0,13340.0,-19775.0,0.6745891276864728,0.2222222222222222,-357.5,-1287.5,3335.0,-1412.5,2.361061946902655,-17600.0,-17.599999999999998,-0.365625,15,0,10,,,,32.227279411764705,111.22222222222223,20.5,-23.833333333333332
premarket_continuation_0p625_time,EXP-027:premarket_continuation_0p625_time:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,9,-2520.0,4320.0,-6840.0,0.631578947368421,0.3333333333333333,-280.0,-520.0,1440.0,-1140.0,1.263157894736842,-4870.0,-4.87,-0.5174537987679672,7,2,5,,,,16.113639705882353,143.77777777777777,27.0,-18.666666666666668
premarket_continuation_0p625_time,EXP-027:premarket_continuation_0p625_time:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,9,-3915.0,9020.0,-12935.0,0.697332817935833,0.1111111111111111,-435.0,-1350.0,9020.0,-1616.875,5.578662543486664,-12935.0,-12.934999999999999,-0.302667182064167,8,0,8,,,,16.113639705882353,78.66666666666667,18.0,-29.0
