candidate_id,series_id,exp027_cohort,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
gap_fade_0p25_prior_close,EXP-027:gap_fade_0p25_prior_close:NQ,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,ALL_TRADES,48,-11580.0,40980.0,-52560.0,0.7796803652968036,0.3541666666666667,-241.25,-997.5,2410.5882352941176,-1695.483870967742,1.4217700778941713,-24490.0,-24.490000000000002,-0.4728460596161699,33,8,8,-19275.0,,,85.93941176470588,44.375,11.5,-16.083333333333332
gap_fade_0p25_prior_close,EXP-027:gap_fade_0p25_prior_close:NQ,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,LONG_TRADES,24,-16440.0,12175.0,-28615.0,0.4254761488729687,0.2916666666666667,-685.0,-1067.5,1739.2857142857142,-1683.235294117647,1.0332992186914953,-19070.0,-19.07,-0.8620870477189303,23,2,12,-17500.0,,,42.96970588235294,35.375,9.0,-45.666666666666664
gap_fade_0p25_prior_close,EXP-027:gap_fade_0p25_prior_close:NQ,SECONDARY_MEASUREMENT_CONTEXT,gap_fade,DEVELOPMENT,SHORT_TRADES,24,4860.0,28805.0,-23945.0,1.2029651284192941,0.4166666666666667,202.5,-890.0,2880.5,-1710.357142857143,1.684151179787012,-11635.0,-11.635,0.41770519982810483,7,3,5,-4860.0,,,42.96970588235294,53.375,17.5,13.5
