candidate_id,month,completed_trades,net_profit_usd,trade_profit_factor,maximum_drawdown_usd
premarket_continuation_0p75_time,2026-01,0,0.0,,0.0
premarket_continuation_0p75_time,2026-02,1,-685.0,0.0,-685.0
premarket_continuation_0p75_time,2026-03,2,-3340.0,0.0,-3340.0
premarket_continuation_0p75_time,2026-04,4,-3655.0,0.0,-3655.0
premarket_continuation_0p75_time,2026-05,0,0.0,,0.0
premarket_continuation_0p75_time,2026-06,1,-540.0,0.0,-540.0
premarket_continuation_0p75_time,2026-07,1,-2640.0,0.0,-2640.0
premarket_continuation_0p75_1p5r,2026-01,0,0.0,,0.0
premarket_continuation_0p75_1p5r,2026-02,1,-685.0,0.0,-685.0
premarket_continuation_0p75_1p5r,2026-03,2,-3340.0,0.0,-3340.0
premarket_continuation_0p75_1p5r,2026-04,4,-3655.0,0.0,-3655.0
premarket_continuation_0p75_1p5r,2026-05,0,0.0,,0.0
premarket_continuation_0p75_1p5r,2026-06,1,-540.0,0.0,-540.0
premarket_continuation_0p75_1p5r,2026-07,1,-2640.0,0.0,-2640.0
premarket_continuation_0p875_time,2026-01,0,0.0,,0.0
premarket_continuation_0p875_time,2026-02,0,0.0,,0.0
premarket_continuation_0p875_time,2026-03,0,0.0,,0.0
premarket_continuation_0p875_time,2026-04,0,0.0,,0.0
premarket_continuation_0p875_time,2026-05,0,0.0,,0.0
premarket_continuation_0p875_time,2026-06,0,0.0,,0.0
premarket_continuation_0p875_time,2026-07,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-01,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-02,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-03,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-04,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-05,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-06,0,0.0,,0.0
premarket_continuation_0p875_1p5r,2026-07,0,0.0,,0.0
opening_drive_0p25_time,2026-01,16,0.0,1.0,-4065.0
opening_drive_0p25_time,2026-02,15,33010.0,4.609622744669218,-8080.0
opening_drive_0p25_time,2026-03,19,-8910.0,0.7136429374899567,-16345.0
opening_drive_0p25_time,2026-04,12,4915.0,1.2661792580557811,-8150.0
opening_drive_0p25_time,2026-05,18,-3235.0,0.8468639053254438,-9370.0
opening_drive_0p25_time,2026-06,15,-10885.0,0.7502008032128514,-34400.0
opening_drive_0p25_time,2026-07,11,-12305.0,0.4173768939393939,-15225.0
opening_drive_0p25_1p5r,2026-01,16,7350.0,1.6612685560053981,-3525.0
opening_drive_0p25_1p5r,2026-02,15,37430.0,5.154273029966704,-8080.0
opening_drive_0p25_1p5r,2026-03,19,-8652.5,0.7219186887353366,-16262.5
opening_drive_0p25_1p5r,2026-04,12,-465.0,0.974817221770918,-8150.0
opening_drive_0p25_1p5r,2026-05,18,5355.0,1.281842105263158,-9105.0
opening_drive_0p25_1p5r,2026-06,15,-21367.5,0.5096385542168674,-34220.0
opening_drive_0p25_1p5r,2026-07,11,-10522.5,0.5017755681818182,-15225.0
opening_drive_0p50_time,2026-01,14,3525.0,1.444794952681388,-2410.0
opening_drive_0p50_time,2026-02,10,19030.0,3.8026509572901324,-6655.0
opening_drive_0p50_time,2026-03,11,-1340.0,0.9247402415051952,-8890.0
opening_drive_0p50_time,2026-04,9,7095.0,1.485128205128205,-7555.0
opening_drive_0p50_time,2026-05,9,-3935.0,0.650687971593431,-8460.0
opening_drive_0p50_time,2026-06,10,-16615.0,0.5052114353782013,-31870.0
opening_drive_0p50_time,2026-07,6,-14265.0,0.1662770309760374,-15625.0
opening_drive_0p50_1p5r,2026-01,14,10875.0,2.432806324110672,-2410.0
opening_drive_0p50_1p5r,2026-02,10,24922.5,4.744928625093914,-6655.0
opening_drive_0p50_1p5r,2026-03,11,405.0,1.0227464195450715,-8890.0
opening_drive_0p50_1p5r,2026-04,9,1715.0,1.1172649572649573,-7555.0
opening_drive_0p50_1p5r,2026-05,9,-3935.0,0.650687971593431,-8460.0
opening_drive_0p50_1p5r,2026-06,10,-19717.5,0.41282013103037524,-31870.0
