candidate_id,slippage_ticks_per_side,round_trip_cost_usd,completed_trades,net_profit_usd,trade_profit_factor,maximum_drawdown_usd,net_profit_to_drawdown
premarket_continuation_0p625_time,2,25.0,18,-6615.0,0.6678383128295254,-17750.0,-0.3726760563380282
premarket_continuation_0p625_1p5r,2,25.0,18,-10662.5,0.4645995480793372,-16377.5,-0.6510456418867349
premarket_continuation_0p75_time,2,25.0,9,-10950.0,0.0,-10950.0,-1.0
premarket_continuation_0p75_1p5r,2,25.0,9,-10950.0,0.0,-10950.0,-1.0
premarket_continuation_0p875_time,2,25.0,0,0.0,,0.0,
premarket_continuation_0p875_1p5r,2,25.0,0,0.0,,0.0,
opening_drive_0p25_time,2,25.0,106,1530.0,1.0097726111394993,-45575.0,0.033571036752605594
opening_drive_0p25_1p5r,2,25.0,106,8067.5,1.0524118889069352,-45987.5,0.17542810546344115
opening_drive_0p50_time,2,25.0,69,-7195.0,0.9342682258359218,-43980.0,-0.16359708958617553
opening_drive_0p50_1p5r,2,25.0,69,1092.5,1.010025695145453,-47082.5,0.02320395051239845
opening_drive_0p75_time,2,25.0,27,7500.0,1.1802451333813988,-12645.0,0.5931198102016607
opening_drive_0p75_1p5r,2,25.0,27,10070.0,1.2420091324200913,-13832.5,0.7279956623893006
opening_drive_1p00_time,2,25.0,0,0.0,,0.0,
opening_drive_1p00_1p5r,2,25.0,0,0.0,,0.0,
orb_control_exp005_15m_both_time,2,25.0,139,-25210.0,0.879082929636913,-75215.0,-0.3351725054842784
orb_control_exp007_30m_long_1r,2,25.0,90,24815.0,1.3112574474756977,-29070.0,0.8536291709666323
gap_fade_0p25_prior_close,3,35.0,48,-12540.0,0.7641970665663783,-24990.0,-0.5018007202881153
gap_fade_0p25_1r,3,35.0,48,-5015.0,0.8876064545047064,-16270.0,-0.3082360172095882
gap_fade_0p50_prior_close,3,35.0,31,2850.0,1.0885230625873583,-13600.0,0.20955882352941177
gap_fade_0p50_1r,3,35.0,31,4460.0,1.1815221815221815,-9620.0,0.46361746361746364
gap_fade_0p75_prior_close,3,35.0,15,280.0,1.0143149284253579,-9325.0,0.030026809651474532
gap_fade_0p75_1r,3,35.0,15,5940.0,1.4976958525345623,-6275.0,0.9466135458167331
premarket_continuation_0p50_time,3,35.0,25,-4580.0,0.824352828379674,-21020.0,-0.21788772597526165
premarket_continuation_0p50_1p5r,3,35.0,25,-10037.5,0.6150527325023969,-19902.5,-0.5043336264288406
premarket_continuation_0p625_time,3,35.0,18,-6795.0,0.6611817501869858,-17900.0,-0.379608938547486
premarket_continuation_0p625_1p5r,3,35.0,18,-10842.5,0.4593617551732735,-16527.5,-0.6560278324005445
premarket_continuation_0p75_time,3,35.0,9,-11040.0,0.0,-11040.0,-1.0
premarket_continuation_0p75_1p5r,3,35.0,9,-11040.0,0.0,-11040.0,-1.0
premarket_continuation_0p875_time,3,35.0,0,0.0,,0.0,
premarket_continuation_0p875_1p5r,3,35.0,0,0.0,,0.0,
opening_drive_0p25_time,3,35.0,106,470.0,1.0029911538216763,-45755.0,0.010272101409682002
opening_drive_0p25_1p5r,3,35.0,106,7007.5,1.045369201385517,-46277.5,0.15142347793204042
opening_drive_0p50_time,3,35.0,69,-7885.0,0.9282006920415224,-44230.0,-0.17827266561157584
opening_drive_0p50_1p5r,3,35.0,69,402.5,1.0036821882718874,-47332.5,0.00850367083927534
opening_drive_0p75_time,3,35.0,27,7230.0,1.173215141351222,-12685.0,0.5699645250295625
opening_drive_0p75_1p5r,3,35.0,27,9800.0,1.234786775275515,-13952.5,0.702383085468554
opening_drive_1p00_time,3,35.0,0,0.0,,0.0,
opening_drive_1p00_1p5r,3,35.0,0,0.0,,0.0,
orb_control_exp005_15m_both_time,3,35.0,139,-26600.0,0.8728793309438471,-75825.0,-0.3508077810748434
orb_control_exp007_30m_long_1r,3,35.0,90,23915.0,1.2987321216663543,-29220.0,0.8184462696783026
