series_id,experiment_id,market,session_date,net_pnl_usd,cumulative_net_pnl_usd,equity_usd,drawdown_usd,drawdown_percent,had_trade
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-02,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-05,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-06,1560.0,1560.0,101560.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-07,-335.0,1225.0,101225.0,-335.0,-0.329854273335959,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-08,-1765.0,-540.0,99460.0,-2100.0,-2.067743205986609,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-09,0.0,-540.0,99460.0,-2100.0,-2.067743205986609,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-12,1435.0,895.0,100895.0,-665.0,-0.6547853485624261,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-13,0.0,895.0,100895.0,-665.0,-0.6547853485624261,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-14,-325.0,570.0,100570.0,-990.0,-0.9747932256794014,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-15,2980.0,3550.0,103550.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-16,305.0,3855.0,103855.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-19,0.0,3855.0,103855.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-20,-1780.0,2075.0,102075.0,-1780.0,-1.713928072793799,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-21,2935.0,5010.0,105010.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-22,-1310.0,3700.0,103700.0,-1310.0,-1.2475002380725644,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-23,1320.0,5020.0,105020.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-26,430.0,5450.0,105450.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-27,485.0,5935.0,105935.0,0.0,0.0,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-28,0.0,5935.0,105935.0,0.0,0.0,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-29,-2410.0,3525.0,103525.0,-2410.0,-2.27497994052957,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-01-30,0.0,3525.0,103525.0,-2410.0,-2.27497994052957,False
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-02,2010.0,5535.0,105535.0,-400.0,-0.3775900316231652,True
EXP-027:opening_drive_0p50_time:NQ,EXP-027,NQ,2026-02-03,4160.0,9695.0,109695.0,0.0,0.0,True
