candidate_id,family_id,symbol,completed_trades,long_trades,short_trades,gross_profit_usd,gross_loss_usd,net_profit_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,round_trip_cost_usd,average_trade_to_round_trip_cost,mnq_completed_trades,mnq_profit_factor,mnq_net_profit_usd,zero_tick_net_profit_usd,two_tick_net_profit_usd,cost_resilience_ratio,trading_years,profitable_years,profitable_year_fraction,observed_months,profitable_months,profitable_month_fraction,best_year_profit_contribution,top_5_trade_profit_contribution,longest_drawdown_duration_trades,longest_recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result_usd,worst_50_trade_result_usd,worst_100_trade_result_usd,trades_per_year,session_participation_rate,average_holding_minutes,median_holding_minutes,low_sample,concentrated_activity,cost_fragile,mnq_divergence,reliability_flag_count,research_status,pareto_nondominated,domination_count
orb_pullback_long_1r,orb_pullback_continuation,NQ,640,640,0,343500.0,-327535.0,15965.0,1.0487428824400447,0.534375,24.9453125,235.0,1004.3859649122807,-1099.1107382550335,0.9138168975647172,-20662.5,0.206625,0.7726557773744707,15.0,1.6630208333333334,635,0.997817270001435,-72.25,22365.0,9565.0,0.4276771741560474,7,5,0.7142857142857143,80,42,0.525,0.414970247416223,1.0762605699968681,205,145,7,-11230.0,-20145.0,-13302.5,91.42857142857143,0.3904820012202563,94.4796875,63.0,False,False,False,True,1,MEASURED_NOT_VALIDATED,True,0
orb_pullback_long_1p5r,orb_pullback_continuation,NQ,640,640,0,397520.0,-358257.5,39262.5,1.1095929603706831,0.4734375,61.34765625,-177.5,1311.947194719472,-1063.078635014837,1.234101741402377,-20023.75,0.2002375,1.9607965540920158,15.0,4.08984375,635,1.0585983163748798,2117.875,45662.5,32862.5,0.7196824527785382,7,4,0.5714285714285714,80,46,0.575,0.40041388092964025,0.5787010506208214,143,86,7,-11015.0,-18953.75,-11403.75,91.42857142857143,0.3904820012202563,127.8328125,96.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,2
orb_pullback_both_1r,orb_pullback_continuation,NQ,935,495,440,538570.0,-536467.5,2102.5,1.0039191563328627,0.5144385026737968,2.248663101604278,190.0,1119.6881496881497,-1181.646475770925,0.9475661059773798,-23775.0,0.23775,0.08843322818086224,15.0,0.1499108734402852,932,0.9756420280267035,-1316.25,11452.5,-7247.5,-0.6328312595503165,7,4,0.5714285714285714,80,39,0.4875,4.079667063020214,8.87039239001189,385,337,7,-18355.0,-21352.5,-14520.0,133.57142857142858,0.5704697986577181,89.12513368983957,51.0,False,False,True,True,2,MEASURED_NOT_VALIDATED,False,2
orb_pullback_both_1p5r,orb_pullback_continuation,NQ,935,495,440,635211.25,-591062.5,44148.75,1.0746938775510204,0.45454545454545453,47.217914438502675,-360.0,1494.6147058823528,-1158.9460784313726,1.2896326530612243,-21193.75,0.2119375,2.083102329696255,15.0,3.147860962566845,932,1.050476607682166,2995.875,53498.75,34798.75,0.6504591228767027,7,5,0.7142857142857143,80,37,0.4625,0.3899317647725021,0.5727512103966703,215,144,8,-14857.5,-16518.75,-15367.5,133.57142857142858,0.5704697986577181,123.10374331550803,78.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,2
failed_orb_30m_1r,failed_orb_reversal,NQ,933,467,466,328170.0,-356450.0,-28280.0,0.920662084443821,0.5016077170418006,-30.310825294748124,25.0,701.2179487179487,-766.5591397849462,0.914760404415335,-40800.0,0.408,-0.6931372549019608,15.0,-2.020721686316542,932,0.935626751195766,-2274.5,-18950.0,-37610.0,1.9846965699208443,7,3,0.42857142857142855,80,38,0.475,-0.7015558698727016,-0.518033946251768,794,19,10,-29120.0,-26670.0,-27680.0,133.28571428571428,0.5692495424039048,30.217577706323688,14.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,5
failed_orb_30m_1p5r,failed_orb_reversal,NQ,933,467,466,409570.0,-404240.0,5330.0,1.0131852364931724,0.41586280814576637,5.712754555198285,-290.0,1055.5927835051546,-741.7247706422019,1.4231596749710795,-30320.0,0.3032,0.17579155672823218,15.0,0.38085030367988565,932,1.0229328883945124,927.75,14660.0,-4000.0,-0.2728512960436562,7,3,0.42857142857142855,80,41,0.5125,4.359756097560975,3.8658536585365852,587,211,11,-27305.0,-18800.0,-23595.0,133.28571428571428,0.5692495424039048,48.47481243301179,22.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,7
failed_orb_60m_1r,failed_orb_reversal,NQ,1097,537,560,427735.0,-446740.0,-19005.0,0.9574584769664682,0.4986326344576117,-17.324521422060165,-20.0,781.9652650822669,-813.7340619307832,0.9609592392222871,-40925.0,0.40925,-0.4643860720830788,15.0,-1.154968094804011,1096,0.9712767517684089,-1273.0,-8035.0,-29975.0,3.7305538270068452,7,2,0.2857142857142857,80,48,0.6,-0.6361483820047356,-0.8571428571428571,936,23,12,-25595.0,-25960.0,-27785.0,156.71428571428572,0.6693105552165954,40.78304466727438,17.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,5
failed_orb_60m_1p5r,failed_orb_reversal,NQ,1097,537,560,519065.0,-500135.0,18930.0,1.037849780559249,0.41659070191431175,17.256153144940747,-290.0,1135.8096280087527,-785.1412872841445,1.4466308757466992,-30875.0,0.30875,0.6131174089068826,15.0,1.1504102096627165,1096,1.0346488872978938,1742.25,29900.0,7960.0,0.2662207357859532,7,5,0.7142857142857143,80,43,0.5375,0.6299524564183835,1.2816957210776545,614,119,12,-22622.5,-20392.5,-19505.0,156.71428571428572,0.6693105552165954,61.40929808568824,26.0,False,False,False,False,0,MEASURED_NOT_VALIDATED,False,6
vwap_reversion_1p5sd_vwap,vwap_mean_reversion,NQ,1563,732,831,431478.50699310075,-510653.34341049194,-79174.83641739121,0.8449538469901958,0.3800383877159309,-50.655685487774285,-255.0,726.394792917678,-526.9900344793518,1.378384305948653,-85075.90194530885,0.8507590194530885,-0.9306376377683172,15.0,-3.3770456991849525,1567,0.8078963169611659,-10215.433048545927,-63544.83641739121,-94804.83641739121,1.491936115700577,7,0,0.0,80,30,0.375,0.035735664178032533,-0.21877772203805165,1560,166,17,-12479.656557006529,-16832.85324628254,-26248.383264539734,223.28571428571428,0.9536302623550945,28.373000639795265,13.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,21
vwap_reversion_1p5sd_1r,vwap_mean_reversion,NQ,1579,741,838,405480.0,-490660.0,-85180.0,0.8263970977866547,0.4578847371754275,-53.94553514882837,-190.0,560.8298755186722,-573.2009345794393,0.9784175874209909,-87335.0,0.87335,-0.975324898379802,15.0,-3.5963690099218915,1583,0.7856256170154535,-10966.0,-69390.0,-100970.0,1.4551088053033578,7,0,0.0,80,29,0.3625,0.019135947405494246,-0.16506222117868044,1576,9,11,-11660.0,-15830.0,-23320.0,225.57142857142858,0.963392312385601,22.541481950601646,11.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,15
vwap_reversion_2sd_vwap,vwap_mean_reversion,NQ,1285,610,675,364401.00330829975,-388426.4345130769,-24025.431204777182,0.9381467658479657,0.3066147859922179,-18.696833622394696,-225.0,924.8756429144664,-435.94437094621424,2.121545097387151,-55535.18689057986,0.5553518689057986,-0.43261637440986966,15.0,-1.246455574826313,1300,0.869138886750353,-5399.264102123809,-11175.431204777182,-36875.43120477718,3.299687549328206,7,2,0.2857142857142857,80,39,0.4875,-0.8196143666899287,-0.8537350430888052,1213,539,19,-15146.691335374744,-28832.965795453565,-36635.48264269382,183.57142857142858,0.7840146430750458,30.75330739299611,15.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,10
vwap_reversion_2sd_1r,vwap_mean_reversion,NQ,1290,614,676,292730.0,-313745.0,-21015.0,0.9330188528900859,0.48604651162790696,-16.290697674418606,-85.0,466.8740031897927,-474.65204236006053,0.9836131766512708,-31770.0,0.3177,-0.6614730878186968,15.0,-1.086046511627907,1304,0.8715294117647059,-4231.5,-8115.0,-33915.0,4.179297597042514,7,2,0.2857142857142857,80,33,0.4125,-0.20295027361408519,-0.6038543897216274,1128,736,10,-9750.0,-13825.0,-13145.0,184.28571428571428,0.7870652837095791,16.34031007751938,7.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,6
vwap_trend_1close_1r,vwap_trend_pullback,NQ,1506,794,712,324400.0,-371130.0,-46730.0,0.8740872470562876,0.4900398406374502,-31.02921646746348,-40.0,439.56639566395665,-483.2421875,0.9096192489691448,-58235.0,0.58235,-0.802438396153516,15.0,-2.068614431164232,1508,0.8068518184860106,-7504.0,-31670.0,-61790.0,1.951057783391222,7,2,0.2857142857142857,80,28,0.35,-0.035309223197089665,-0.23924673657179543,1410,32,13,-12095.0,-15300.0,-17375.0,215.14285714285714,0.9188529591214155,10.703851261620185,3.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,9
vwap_trend_1close_1p5r,vwap_trend_pullback,NQ,1506,794,712,394885.0,-433755.0,-38870.0,0.9103872001475487,0.40239043824701193,-25.810092961487385,-160.0,651.6254125412541,-482.4860956618465,1.3505579091297795,-52510.0,0.5251,-0.7402399542944201,15.0,-1.720672864099159,1508,0.862477508650519,-6210.0,-23810.0,-53930.0,2.265014699706006,7,2,0.2857142857142857,80,41,0.5125,-0.09068690506817598,-0.40153074350398765,1410,41,13,-11527.5,-15490.0,-17012.5,215.14285714285714,0.9188529591214155,17.168658698539176,5.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,13
vwap_trend_2close_1r,vwap_trend_pullback,NQ,1458,770,688,481200.0,-504005.0,-22805.0,0.9547524330115773,0.49588477366255146,-15.641289437585733,-57.5,665.5601659751037,-685.7210884353741,0.9705989464225578,-48780.0,0.4878,-0.4675071750717507,15.0,-1.0427526291723823,1462,0.8830251559822384,-6177.5,-8225.0,-37385.0,4.545288753799392,7,2,0.2857142857142857,80,38,0.475,-0.2153036614777461,-0.7515895636921728,854,102,13,-17055.0,-27740.0,-34975.0,208.28571428571428,0.8895668090298963,25.94238683127572,10.0,False,False,True,False,1,MEASURED_NOT_VALIDATED,False,5
