series_id,experiment_id,candidate_id,family_id,market,trade_id,session_date,direction,entry_time,exit_time,holding_minutes,entry_price,exit_price,gross_pnl_usd,transaction_cost_usd,net_pnl_usd,risk_points,initial_risk_usd,contracts,exit_reason,mae_usd,mfe_usd,captured_fraction_of_mfe,source_row_number
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,81,2026-06-30,long,2026-06-30T14:05:00+00:00,2026-06-30T18:00:00+00:00,235.0,30391.75,30524.75,2660.0,15.0,2645.0,358.75,7175.0,1,forced_flat_1200,,,,81
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,82,2026-07-01,long,2026-07-01T14:10:00+00:00,2026-07-01T18:00:00+00:00,230.0,30296.5,30164.25,-2645.0,15.0,-2660.0,208.75,4175.0,1,forced_flat_1200,,,,82
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,83,2026-07-06,long,2026-07-06T14:15:00+00:00,2026-07-06T18:00:00+00:00,225.0,30021.75,29896.25,-2510.0,15.0,-2525.0,245.5,4910.0,1,forced_flat_1200,,,,83
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,84,2026-07-08,long,2026-07-08T17:25:00+00:00,2026-07-08T18:00:00+00:00,35.0,29420.5,29352.25,-1365.0,15.0,-1380.0,219.5,4390.0,1,forced_flat_1200,,,,84
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,85,2026-07-09,long,2026-07-09T17:10:00+00:00,2026-07-09T18:00:00+00:00,50.0,29941.75,29974.75,660.0,15.0,645.0,269.75,5395.0,1,forced_flat_1200,,,,85
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,86,2026-07-10,long,2026-07-10T15:30:00+00:00,2026-07-10T18:00:00+00:00,150.0,29980.0,30039.0,1180.0,15.0,1165.0,182.0,3640.0,1,forced_flat_1200,,,,86
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,87,2026-07-14,long,2026-07-14T15:10:00+00:00,2026-07-14T18:00:00+00:00,170.0,29857.5,29863.0,110.0,15.0,95.0,172.5,3450.0,1,forced_flat_1200,,,,87
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,88,2026-07-17,long,2026-07-17T14:05:00+00:00,2026-07-17T16:52:00+00:00,167.0,28718.0,29027.75,6195.0,15.0,6180.0,309.75,6195.0,1,profit_target,,,,88
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,89,2026-07-21,long,2026-07-21T15:10:00+00:00,2026-07-21T18:00:00+00:00,170.0,29274.25,29341.5,1345.0,15.0,1330.0,181.75,3635.0,1,forced_flat_1200,,,,89
EXP-027:orb_control_exp007_30m_long_1r:NQ,EXP-027,orb_control_exp007_30m_long_1r,opening_range_breakout_control,NQ,90,2026-07-22,long,2026-07-22T15:10:00+00:00,2026-07-22T18:00:00+00:00,170.0,29292.5,29244.0,-970.0,15.0,-985.0,202.5,4050.0,1,forced_flat_1200,,,,90
