candidate_id,series_id,exp027_cohort,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
premarket_continuation_0p75_1p5r,EXP-027:premarket_continuation_0p75_1p5r:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,9,-10860.0,0.0,-10860.0,0.0,0.0,-1206.6666666666667,-1265.0,,-1206.6666666666667,,-10860.0,-10.86,-1.0,9,0,9,,,,16.113639705882353,20.11111111111111,4.0,-80.44444444444444
premarket_continuation_0p75_1p5r,EXP-027:premarket_continuation_0p75_1p5r:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,5,-4870.0,0.0,-4870.0,0.0,0.0,-974.0,-685.0,,-974.0,,-4870.0,-4.87,-1.0,5,0,5,,,,8.95202205882353,25.4,1.0,-64.93333333333334
premarket_continuation_0p75_1p5r,EXP-027:premarket_continuation_0p75_1p5r:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,4,-5990.0,0.0,-5990.0,0.0,0.0,-1497.5,-1405.0,,-1497.5,,-5990.0,-5.99,-1.0,4,0,4,,,,7.161617647058824,13.5,14.5,-99.83333333333333
