candidate_id,series_id,exp027_cohort,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
premarket_continuation_0p50_1p5r,EXP-027:premarket_continuation_0p50_1p5r:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,ALL_TRADES,25,-9537.5,16177.5,-25715.0,0.629107524790978,0.28,-381.5,-1025.0,2311.0714285714284,-1428.611111111111,1.617705063748229,-19522.5,-19.5225,-0.48853886541170444,19,0,11,-17242.5,,,44.76011029411765,35.16,15.0,-25.433333333333334
premarket_continuation_0p50_1p5r,EXP-027:premarket_continuation_0p50_1p5r:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,13,1842.5,11602.5,-9760.0,1.188780737704918,0.38461538461538464,141.73076923076923,-520.0,2320.5,-1220.0,1.902049180327869,-5720.0,-5.72,0.32211538461538464,10,4,6,,,,23.27525735294118,39.07692307692308,15.0,9.448717948717949
premarket_continuation_0p50_1p5r,EXP-027:premarket_continuation_0p50_1p5r:NQ,SECONDARY_MEASUREMENT_CONTEXT,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,12,-11380.0,4575.0,-15955.0,0.28674396740833596,0.16666666666666666,-948.3333333333334,-1342.5,2287.5,-1595.5,1.4337198370416797,-14930.0,-14.93,-0.7622237106496986,9,0,9,,,,21.48485294117647,30.916666666666668,12.5,-63.22222222222222
