series_id,experiment_id,candidate_id,family_id,exp027_cohort,market,session_date,net_pnl_usd,cumulative_net_pnl_usd,equity_usd,drawdown_usd,drawdown_percent,had_trade
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-02,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-05,0.0,0.0,100000.0,0.0,0.0,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-06,1560.0,1560.0,101560.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-07,2572.5,4132.5,104132.5,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-08,-1765.0,2367.5,102367.5,-1765.0,-1.6949559455501404,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-09,0.0,2367.5,102367.5,-1765.0,-1.6949559455501404,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-12,1435.0,3802.5,103802.5,-330.0,-0.31690394449379394,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-13,0.0,3802.5,103802.5,-330.0,-0.31690394449379394,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-14,-325.0,3477.5,103477.5,-655.0,-0.6290063140710153,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-15,2662.5,6140.0,106140.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-16,305.0,6445.0,106445.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-19,0.0,6445.0,106445.0,0.0,0.0,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-20,-1780.0,4665.0,104665.0,-1780.0,-1.6722250927709146,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-21,5865.0,10530.0,110530.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-22,-1310.0,9220.0,109220.0,-1310.0,-1.1851985886184746,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-23,3150.0,12370.0,112370.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-26,430.0,12800.0,112800.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-27,485.0,13285.0,113285.0,0.0,0.0,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-28,0.0,13285.0,113285.0,0.0,0.0,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-29,-2410.0,10875.0,110875.0,-2410.0,-2.1273778523193716,True
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-01-30,0.0,10875.0,110875.0,-2410.0,-2.1273778523193716,False
EXP-027:opening_drive_0p50_1p5r:NQ,EXP-027,opening_drive_0p50_1p5r,opening_drive_continuation,SECONDARY_MEASUREMENT_CONTEXT,NQ,2026-02-02,2010.0,12885.0,112885.0,-400.0,-0.3530917597210575,True
